EXPANDIDO: Hora: 0; SAT1: Carga 1, banda (0,1) - Observ ; SAT2: Carga 8, banda (2,3) -  Observ ;  Observ Trans; f 1
EXPANDIDO: Hora: 1; SAT1: Carga 1, banda (0,1) - Observ ; SAT2: Carga 8, banda (2,3) -  Observ ;  Observ Trans; f 2
EXPANDIDO: Hora: 1; SAT1: Carga 1, banda (0,1) - Observ ; SAT2: Carga 7, banda (1,2) -  Observ ;  Observ Trans; f 2
EXPANDIDO: Hora: 1; SAT1: Carga 0, banda (1,2) - Observ ; SAT2: Carga 8, banda (2,3) -  Observ ;  Observ Trans; f 2
EXPANDIDO: Hora: 1; SAT1: Carga 0, banda (1,2) - Observ ; SAT2: Carga 7, banda (1,2) -  Observ ;  Observ Trans; f 2
EXPANDIDO: Hora: 2; SAT1: Carga 1, banda (0,1) - Observ ; SAT2: Carga 8, banda (2,3) -  Observ ;  Observ Trans; f 3
EXPANDIDO: Hora: 2; SAT1: Carga 1, banda (0,1) - Observ ; SAT2: Carga 7, banda (1,2) -  Observ ;  Observ Trans; f 3
EXPANDIDO: Hora: 2; SAT1: Carga 0, banda (0,1) - Observ  (0,1); SAT2: Carga 8, banda (2,3) -  Observ ;  Observ Trans; f 3
EXPANDIDO: Hora: 2; SAT1: Carga 0, banda (0,1) - Observ  (0,1); SAT2: Carga 7, banda (1,2) -  Observ ;  Observ Trans; f 3
EXPANDIDO: Hora: 2; SAT1: Carga 0, banda (1,2) - Observ ; SAT2: Carga 8, banda (2,3) -  Observ ;  Observ Trans; f 3
EXPANDIDO: Hora: 2; SAT1: Carga 0, banda (1,2) - Observ ; SAT2: Carga 7, banda (1,2) -  Observ ;  Observ Trans; f 3
EXPANDIDO: Hora: 2; SAT1: Carga 1, banda (0,1) - Observ ; SAT2: Carga 6, banda (2,3) -  Observ ;  Observ Trans; f 3
EXPANDIDO: Hora: 2; SAT1: Carga 1, banda (0,1) - Observ ; SAT2: Carga 8, banda (1,2) -  Observ ;  Observ Trans; f 3
EXPANDIDO: Hora: 2; SAT1: Carga 0, banda (0,1) - Observ  (0,1); SAT2: Carga 6, banda (2,3) -  Observ ;  Observ Trans; f 3
EXPANDIDO: Hora: 2; SAT1: Carga 0, banda (0,1) - Observ  (0,1); SAT2: Carga 8, banda (1,2) -  Observ ;  Observ Trans; f 3
EXPANDIDO: Hora: 2; SAT1: Carga 0, banda (1,2) - Observ ; SAT2: Carga 6, banda (2,3) -  Observ ;  Observ Trans; f 3
EXPANDIDO: Hora: 2; SAT1: Carga 0, banda (1,2) - Observ ; SAT2: Carga 8, banda (1,2) -  Observ ;  Observ Trans; f 3
EXPANDIDO: Hora: 2; SAT1: Carga 1, banda (1,2) - Observ ; SAT2: Carga 8, banda (2,3) -  Observ ;  Observ Trans; f 3
EXPANDIDO: Hora: 2; SAT1: Carga 1, banda (1,2) - Observ ; SAT2: Carga 7, banda (1,2) -  Observ ;  Observ Trans; f 3
EXPANDIDO: Hora: 2; SAT1: Carga 1, banda (1,2) - Observ ; SAT2: Carga 6, banda (2,3) -  Observ ;  Observ Trans; f 3
EXPANDIDO: Hora: 2; SAT1: Carga 1, banda (1,2) - Observ ; SAT2: Carga 8, banda (1,2) -  Observ ;  Observ Trans; f 3
EXPANDIDO: Hora: 3; SAT1: Carga 1, banda (0,1) - Observ ; SAT2: Carga 8, banda (2,3) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 1, banda (0,1) - Observ ; SAT2: Carga 7, banda (1,2) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 0, banda (1,2) - Observ ; SAT2: Carga 8, banda (2,3) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 0, banda (1,2) - Observ ; SAT2: Carga 7, banda (1,2) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 1, banda (0,1) - Observ ; SAT2: Carga 6, banda (2,3) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 1, banda (0,1) - Observ ; SAT2: Carga 8, banda (1,2) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 0, banda (1,2) - Observ ; SAT2: Carga 6, banda (2,3) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 0, banda (1,2) - Observ ; SAT2: Carga 8, banda (1,2) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 0, banda (0,1) - Observ  (0,1); SAT2: Carga 8, banda (2,3) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 0, banda (0,1) - Observ  (0,1); SAT2: Carga 7, banda (1,2) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 1, banda (0,1) - Observ  (0,1); SAT2: Carga 8, banda (2,3) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 1, banda (0,1) - Observ  (0,1); SAT2: Carga 7, banda (1,2) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 0, banda (0,1) - Observ  (0,1); SAT2: Carga 6, banda (2,3) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 0, banda (0,1) - Observ  (0,1); SAT2: Carga 8, banda (1,2) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 1, banda (0,1) - Observ  (0,1); SAT2: Carga 6, banda (2,3) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 1, banda (0,1) - Observ  (0,1); SAT2: Carga 8, banda (1,2) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 1, banda (1,2) - Observ ; SAT2: Carga 8, banda (2,3) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 1, banda (1,2) - Observ ; SAT2: Carga 7, banda (1,2) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 1, banda (1,2) - Observ ; SAT2: Carga 6, banda (2,3) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 1, banda (1,2) - Observ ; SAT2: Carga 8, banda (1,2) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 1, banda (0,1) - Observ ; SAT2: Carga 5, banda (1,2) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 1, banda (0,1) - Observ ; SAT2: Carga 7, banda (2,3) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 0, banda (1,2) - Observ ; SAT2: Carga 5, banda (1,2) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 0, banda (1,2) - Observ ; SAT2: Carga 7, banda (2,3) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 0, banda (0,1) - Observ  (0,1); SAT2: Carga 5, banda (1,2) -  Observ ;  Observ Trans; f 4
EXPANDIDO: Hora: 3; SAT1: Carga 0, banda (0,1) - Observ  (0,1); SAT2: Carga 7, banda (2,3) -  Observ ;  Observ Trans; f 4
